id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key
0UvCh63URrLFcPkKt99hHd;Don't Look Back in Anger - Remastered;Oasis;(What's The Story) Morning Glory? [Remastered];1995-10-02;289560;72;False;https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd;;;
4Yf5bqU3NK4kNOypcrLYwU;Faint;Linkin Park;Meteora;2003-03-25;162106;83;False;https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU;guitar_stems/Faint_(Official_Music_Video)_[4K_UPGRADE]_–_Linkin_Park.wav;67.0;C# minor
3ZOEytgrvLwQaqXreDs2Jx;Can't Stop;Red Hot Chili Peppers;By the Way (Deluxe Edition);2002-07-09;269000;85;False;https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx;guitar_stems/Red_Hot_Chili_Peppers_-_Can't_Stop_[Official_Music_Video].wav;92.0;E minor
663Karu2rvKLdnY0eo1n3M;Call Me When You're Sober;Evanescence;The Open Door;2006-01-01;214706;70;False;https://open.spotify.com/track/663Karu2rvKLdnY0eo1n3M;guitar_stems/Evanescence_-_Call_Me_When_You're_Sober.wav;94.0;E minor
3YuaBvuZqcwN3CEAyyoaei;Like a Stone;Audioslave;Audioslave;2002-11-17;293960;82;False;https://open.spotify.com/track/3YuaBvuZqcwN3CEAyyoaei;guitar_stems/Audioslave_-_Like_a_Stone_(Official_Video).wav;80.0;G minor
2RChe0r2cMoyOvuKobZy44;Always;Bon Jovi;Cross Road;1994-10-18;353026;76;False;https://open.spotify.com/track/2RChe0r2cMoyOvuKobZy44;;;
60a5c4dDARPsksClcom0OD;Amazing;Aerosmith;Get A Grip;1993-01-01;355915;66;False;https://open.spotify.com/track/60a5c4dDARPsksClcom0OD;guitar_stems/Aerosmith_-_Amazing_(Official_Music_Video).wav;70.0;C major
42T2QQv3xgBlpQxaSP7lnK;One Last Breath;Creed;Weathered;2001-01-01;238240;82;False;https://open.spotify.com/track/42T2QQv3xgBlpQxaSP7lnK;guitar_stems/Creed_-_One_Last_Breath_(Official_HD_Music_Video).wav;125.0;D major
0gzqZ9d1jIKo9psEIthwXe;Beautiful Day;U2;All That You Can't Leave Behind;2000-01-01;248400;74;False;https://open.spotify.com/track/0gzqZ9d1jIKo9psEIthwXe;;;
507bYMYfbm6sUS9iEAaeSd;Broken;Seether, Amy Lee;Disclaimer II;2004-01-01;258333;72;False;https://open.spotify.com/track/507bYMYfbm6sUS9iEAaeSd;guitar_stems/Seether_-_Broken_ft._Amy_Lee.wav;63.0;Gb major
75JFxkI2RXiU7L9VXzMkle;The Scientist;Coldplay;A Rush of Blood to the Head;2002-08-27;309600;88;False;https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle;guitar_stems/Coldplay_-_The_Scientist_(Official_4K_Video).wav;146.0;E major
1hWrl3T1kIH5b9zRHLfCOn;What's My Age Again?;blink-182;Enema Of The State;1999-01-01;148573;8;False;https://open.spotify.com/track/1hWrl3T1kIH5b9zRHLfCOn;;;
0wIBOrGO6PUkhsrbhJdlcJ;Tears of the Dragon;Bruce Dickinson;Balls To Picasso;1994;384013;0;False;https://open.spotify.com/track/0wIBOrGO6PUkhsrbhJdlcJ;guitar_stems/Bruce_Dickinson_-_Tears_Of_The_Dragon_(Official_HD_Video).wav;70.0;E minor
3TW48DvQ7ChwY1Yy1tkMaP;Runaway Train (2022 Remaster);Soul Asylum;Grave Dancers Union (2022 Remaster);1992-10-06;266560;71;False;https://open.spotify.com/track/3TW48DvQ7ChwY1Yy1tkMaP;;;
